id,unix_time,gps_x_dec,gps_y_dec,wojewodztwo,miejscowosc,ulica,predkosc_dopuszczalna,rodzaj_nawierzchni,warunki_atmosferyczne,obszar_zabudowany,czy_sygnalizacja_swietlna
106656337,1514998800.0,15.653972222222222,52.82463888888889,WOJ. LUBUSKIE,ZWIERZYN,WOJSKA POLSKIEGO,50,01,05,01,03
106655019,1514972940.0,15.393777777777776,51.853833333333334,WOJ. LUBUSKIE,,,90,01,04,02,03
106654275,1514965500.0,15.534888888888888,52.2485,WOJ. LUBUSKIE,ŚWIEBODZIN,GŁOGOWSKA,50,01,05,01,03
106656235,1514998800.0,15.276333333333334,52.736000000000004,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,WARSZAWSKA,50,01,01,01,03
106655987,1514985720.0,15.233749999999999,51.98683333333334,WOJ. LUBUSKIE,,,50,01,04,01,03
106655865,1514984820.0,15.527972222222223,51.563694444444444,WOJ. LUBUSKIE,SZPROTAWA,NIEPODLEGŁOŚCI,50,01,01,01,03
106655740,1514981220.0,16.18563888888889,51.48213888888889,WOJ. LUBUSKIE,WSCHOWA,POCZTOWA,50,01,04,01,03
106654403,1514957400.0,15.751305555555556,51.734861111111115,WOJ. LUBUSKIE,BYTOM ODRZAŃSKI,,70,01,01,02,03
106655892,1514986680.0,15.57425,51.54713888888889,WOJ. LUBUSKIE,,,90,01,04,02,03
106657881,1514995200.0,15.142888888888889,51.647194444444445,WOJ. LUBUSKIE,ŻARY,STASZICA,50,01,04,01,03
106655041,1514976840.0,14.885333333333334,52.463972222222225,WOJ. LUBUSKIE,,,90,01,05,02,03
106654365,1514961600.0,15.208666666666666,52.73802777777778,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,KORCZAKA,50,01,04,01,03
106656362,1515010080.0,15.593472222222223,52.16755555555555,WOJ. LUBUSKIE,,,90,01,05,02,03
106668804,1514985000.0,14.64575,52.39808333333333,WOJ. LUBUSKIE,,,90,01,04,02,03
106655889,1514984100.0,15.329333333333333,51.61838888888889,WOJ. LUBUSKIE,ŻAGAŃ,,70,01,04,02,03
106654814,1514958180.0,14.646666666666667,52.35416666666667,WOJ. LUBUSKIE,,,90,01,04,02,03
106656348,1515010800.0,15.249749999999999,52.71866666666667,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,KASPRZAKA,50,01,05,01,03
106657541,1515007800.0,15.2215,51.52558333333333,WOJ. LUBUSKIE,CZERNA,,50,01,05,01,03
106668432,1514966400.0,15.100583333333333,52.053999999999995,WOJ. LUBUSKIE,KROSNO ODRZAŃSKIE,POZNAŃSKA,50,01,05,01,03
106655881,1514985300.0,15.240916666666665,52.7235,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,KOLEJOWA,50,01,04,01,03
106654763,1514959440.0,15.254444444444445,52.73383333333334,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,WARSZAWSKA - PARKING,50,01,04,01,03
106655816,1514979120.0,15.480444444444444,51.93194444444444,WOJ. LUBUSKIE,ZIELONA GÓRA,ŁUŻYCKA,50,01,04,01,03
106654455,1514962200.0,14.630777777777778,52.594166666666666,WOJ. LUBUSKIE,KOSTRZYN NAD ODRĄ,FABRYCZNA,50,01,01,01,03
106654999,1514975160.0,15.270000000000001,52.75775,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,WALCZAKA - PARKING,50,01,04,01,03
106654241,1514958600.0,15.463249999999999,52.706694444444445,WOJ. LUBUSKIE,,,90,01,04,02,03
106655324,1514988000.0,15.043222222222223,52.77291666666667,WOJ. LUBUSKIE,WYSOKA,,90,01,04,02,03
106655729,1514979600.0,15.238638888888888,52.732888888888894,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,HAWELAŃSKA,50,01,04,01,03
106657779,1515062100.0,15.25986111111111,52.717666666666666,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,KOBYLOGÓRSKA,50,01,04,01,03
106662743,1515092400.0,,,WOJ. LUBUSKIE,ZIELONA GÓRA,FABRYCZNA,50,01,01,01,03
106668591,1515082500.0,15.043388888888888,52.04994444444444,WOJ. LUBUSKIE,,,40,01,05,01,03
106664906,1515099600.0,15.246749999999999,51.54105555555555,WOJ. LUBUSKIE,,,90,01,05,02,03
106658241,1515090000.0,15.246888888888888,52.757555555555555,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,GÓRCZYŃSKA,50,01,01,01,03
106670838,1515087600.0,15.127777777777778,51.597055555555556,WOJ. LUBUSKIE,,,90,01,01,02,03
106658049,1515075600.0,15.245027777777777,52.75913888888889,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,CZARTORYSKIEGO - PARKING,30,01,04,01,03
106657390,1515093060.0,14.442666666666668,51.55222222222222,WOJ. LUBUSKIE,GUBIN,LEGNICKA,70,01,05,02,03
106658326,1515080340.0,15.112166666666667,51.63458333333333,WOJ. LUBUSKIE,ŻARY,SERBSKA,50,01,01,01,03
106656945,1515056400.0,15.225388888888888,52.730472222222225,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,ALEJA KONSTYTUCJI 3 MAJA,50,01,05,01,03
106657731,1515060300.0,15.255722222222222,52.73536111111111,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,PODMIEJSKA,50,01,04,01,03
106658272,1515093000.0,15.224972222222222,52.74480555555556,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,ŻWIROWA,50,01,04,01,03
106657377,1515091740.0,15.492583333333332,51.94,WOJ. LUBUSKIE,ZIELONA GÓRA,WOJSKA POLSKIEGO,50,01,04,01,03
106658204,1515086640.0,15.523611111111112,51.94166666666666,WOJ. LUBUSKIE,ZIELONA GÓRA,WARYŃSKIEGO,50,01,01,01,03
106663052,1515070800.0,15.12975,52.441694444444444,WOJ. LUBUSKIE,SULĘCIN,EMILII PLATER,50,01,04,01,03
106656552,1515044460.0,15.610888888888889,51.92658333333333,WOJ. LUBUSKIE,,,90,01,03,02,03
106657977,1515072600.0,15.124527777777779,52.776833333333336,WOJ. LUBUSKIE,,,120,01,04,02,03
106658355,1515091320.0,15.70961111111111,52.22786111111111,WOJ. LUBUSKIE,,,90,01,01,02,03
106666295,1515084000.0,,,WOJ. LUBUSKIE,,,40,01,01,02,03
106658385,1515097800.0,15.831305555555556,52.56052777777777,WOJ. LUBUSKIE,,,90,01,01,02,03
106658161,1515080100.0,15.327833333333333,52.75505555555556,WOJ. LUBUSKIE,,,90,01,04,02,03
106658210,1515085200.0,15.503916666666667,51.93886111111111,WOJ. LUBUSKIE,ZIELONA GÓRA,LISOWSKIEGO,50,01,04,01,03
106657741,1515055500.0,15.498805555555554,51.933166666666665,WOJ. LUBUSKIE,ZIELONA GÓRA,JASKÓŁCZA,50,01,01,01,03
106657924,1515068400.0,15.709166666666667,51.80577777777778,WOJ. LUBUSKIE,NOWA SÓL,KOŚCIUSZKI,50,01,01,01,03
106657391,1515100500.0,15.504111111111111,52.25011111111111,WOJ. LUBUSKIE,ŚWIEBODZIN,ZACHODNIA,50,01,01,01,03
106657865,1515066720.0,16.28516666666667,51.78319444444444,WOJ. LUBUSKIE,,,90,01,03,02,03
106657346,1515081480.0,14.444527777777777,51.56458333333333,WOJ. LUBUSKIE,GUBIN,KALISKA,50,01,04,01,03
106657420,1515099000.0,14.472722222222222,51.562194444444444,WOJ. LUBUSKIE,,,90,01,05,02,03
106657386,1515094860.0,14.61511111111111,52.32522222222222,WOJ. LUBUSKIE,,,70,01,04,02,03
106657088,1515065340.0,14.597666666666667,52.33358333333334,WOJ. LUBUSKIE,SŁUBICE,TRANSPORTOWA,50,01,01,01,03
106657333,1515088140.0,15.616277777777777,51.459611111111116,WOJ. LUBUSKIE,,,90,01,04,02,03
106658046,1515076200.0,15.237138888888888,52.72402777777778,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,ŚLĄSKA,50,01,01,01,03
106657862,1515063600.0,15.696944444444444,51.80694444444444,WOJ. LUBUSKIE,NOWA SÓL,STASZICA,20,01,01,01,03
106658075,1515043800.0,15.716833333333334,51.80386111111111,WOJ. LUBUSKIE,NOWA SÓL,MARSZ. JÓZEFA PIŁSUDSKIEGO,50,01,01,01,01
106656835,1515047760.0,15.840805555555557,52.32811111111111,WOJ. LUBUSKIE,,,140,01,01,02,03
106658668,1515145500.0,15.460194444444443,52.54519444444444,WOJ. LUBUSKIE,KLESNO,,90,01,04,02,03
106658649,1515134400.0,15.077638888888888,52.02152777777778,WOJ. LUBUSKIE,KROSNO ODRZAŃSKIE,,90,01,01,02,03
106659390,1515174060.0,15.617722222222223,52.44613888888889,WOJ. LUBUSKIE,MIĘDZYRZECZ,POZNAŃSKA,50,02,01,01,03
106659449,1515175200.0,15.318999999999999,52.66972222222222,WOJ. LUBUSKIE,DESZCZNO,LUBUSKA,50,01,01,01,03
106658983,1515157800.0,15.241583333333333,52.72816666666667,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,GROBLA,50,01,04,01,03
